BehaviorSpace results (NetLogo 7.0.3),Table version 2.0,,,,,,
Wolf_Sheep_Predation_simpler.nlogox,,,,,,,
experiment_100_100,,,,,,,
07/31/2026 16:03:50:229 -0300,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,
-25,25,-25,25,,,,
[run number],sheep-reproduce,wolf-reproduce,grass-regrowth-time,[step],land_with_grass,count sheep,count wolves
473,10,12,200,1500,22.914263744713573,22,0
481,10,14,150,1226,30.103806228373703,0,0
488,10,14,200,475,13.917723952326028,0,0
489,10,14,200,128,53.44098423683199,0,0
485,10,14,175,1154,37.13956170703575,0,0
491,10,14,225,138,50.48058439061899,0,0
482,10,14,150,1500,54.171472510572855,31,0
492,10,14,225,90,41.94540561322568,0,0
494,10,14,250,107,46.90503652441369,0,0
483,10,14,150,1500,40.06151480199923,15,0
490,10,14,225,526,16.37831603229527,0,0
486,10,14,175,1473,47.097270280661284,0,0
487,10,14,200,1442,33.02575932333718,0,0
499,10,16,175,124,48.94271434063822,0,0
493,10,14,250,638,16.99346405228758,0,0
495,10,14,250,495,17.185697808535178,0,0
502,10,16,200,408,17.262591311034218,0,0
503,10,16,200,565,54.863514033064206,0,0
505,10,16,225,148,51.55709342560554,0,0
496,10,16,150,1189,36.17839292579777,0,0
507,10,16,225,156,51.44175317185698,0,0
498,10,16,150,1500,31.833910034602077,22,0
497,10,16,150,1500,53.056516724336795,63,0
509,10,16,250,159,50.865051903114185,0,0
501,10,16,175,1500,75.08650519031141,19,0
500,10,16,175,1500,46.943483275663205,13,0
508,10,16,250,535,59.86159169550173,0,0
514,10,18,175,146,50.05767012687428,0,0
504,10,16,200,1500,53.51787773933103,43,0
506,10,16,225,1500,49.86543637062668,2,0
512,10,18,150,813,50.59592464436755,0,0
518,10,18,200,122,51.172625913110345,0,0
515,10,18,175,735,51.710880430603616,0,0
519,10,18,200,89,40.79200308,0,0
510,10,16,250,1380,35.06343713956171,0,0
520,10,18,225,101,38.446751249519416,0,0
516,10,18,175,676,49.36562860438293,0,0
522,10,18,225,138,47.020376778162245,0,0
521,10,18,225,209,56.132256824298345,0,0
524,10,18,250,116,42.71434063821607,0,0
511,10,18,150,1500,51.36485966935794,29,0
513,10,18,150,1500,43.06036139946175,59,0
523,10,18,250,537,17.147251057285658,0,0
525,10,18,250,622,27.64321414840446,0,0
529,10,20,175,399,38.63898500576701,0,0
532,10,20,200,103,50.59592464436755,0,0
526,10,20,150,794,39.29257977700884,0,0
530,10,20,175,462,35.52479815455594,0,0
533,10,20,200,188,54.74817377931565,0,0
536,10,20,225,103,46.17454825067282,0,0
517,10,18,200,1500,22.14532871972318,59,0
528,10,20,150,1500,27.02806612841215,14,0
531,10,20,175,897,30.29603998,0,0
537,10,20,225,511,26.489811610918878,0,0
527,10,20,150,1500,34.02537485582468,34,0
535,10,20,225,798,22.106881968473665,0,0
540,10,20,250,92,43.13725490196079,0,0
544,12,4,175,109,45.25182622068435,0,0
541,12,4,150,324,30.41138023836986,0,0
545,12,4,175,154,53.17185697808535,0,0
539,10,20,250,536,14.340638216070742,0,0
547,12,4,200,137,48.59669357939254,0,0
548,12,4,200,220,75.04805844,0,0
550,12,4,225,95,43.90618992695117,0,0
534,10,20,200,1500,52.86428297,32,0
552,12,4,225,143,53.24875048058439,0,0
551,12,4,225,198,65.16724336793541,0,0
553,12,4,250,100,38.75432525951557,0,0
554,12,4,250,96,39.561707035755475,0,0
538,10,20,250,1497,21.376393694732794,0,0
555,12,4,250,106,39.83083429450212,0,0
558,12,6,150,121,57.90080738177624,0,0
542,12,4,150,1275,35.870818915801614,0,0
559,12,6,175,148,54.63283352556709,0,0
543,12,4,150,1500,42.060745866974244,29,0
561,12,6,175,140,54.97885428681276,0,0
563,12,6,200,86,42.56055363321799,0,0
562,12,6,200,152,58.13148788927336,0,0
565,12,6,225,129,48.32756632064591,0,0
564,12,6,200,240,87.12033833141099,0,0
546,12,4,175,1500,53.71011149557862,21,0
568,12,6,250,104,40.023068050749714,0,0
549,12,4,200,1500,24.33679354094579,49,0
569,12,6,250,92,37.79315647827759,0,0
567,12,6,225,231,72.31833910034602,0,0
570,12,6,250,117,43.13725490196079,0,0
557,12,6,150,1128,25.336409073433295,0,0
572,12,8,150,176,80.39215686,0,0
556,12,6,150,1500,20.953479430988082,53,0
566,12,6,225,634,81.81468665897732,0,0
571,12,8,150,340,30.219146482122262,0,0
573,12,8,150,305,15.878508266051519,0,0
