"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment_100_100"
"08/13/2026 17:44:39:473 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","land_with_grass","count sheep","count wolves"
"325","8","10","225","159","55.86312956555171","0","0"
"328","8","10","250","101","44.82891195693964","0","0"
"329","8","10","250","99","43.52172241445598","0","0"
"327","8","10","225","147","52.71049596309112","0","0"
"330","8","10","250","133","50.173010380622834","0","0"
"333","8","12","150","183","73.89465590157631","0","0"
"332","8","12","150","385","29.02729719338716","0","0"
"334","8","12","175","137","51.51864667435602","0","0"
"317","8","10","150","1500","31.44944252210688","47","0"
"318","8","10","150","1500","70.81891580161476","37","0"
"336","8","12","175","109","49.78854286812764","0","0"
"319","8","10","175","1500","36.639753940792005","54","0"
"337","8","12","200","194","66.28219915417148","0","0"
"341","8","12","225","105","38.94655901576317","0","0"
"321","8","10","175","1500","43.021914648212224","38","0"
"342","8","12","225","161","49.86543637062668","0","0"
"339","8","12","200","416","10.841983852364475","0","0"
"335","8","12","175","625","19.569396386005383","0","0"
"344","8","12","250","110","45.905420991926185","0","0"
"340","8","12","225","479","17.72395232602845","0","0"
"343","8","12","250","236","53.47943098808151","0","0"
"349","8","14","175","113","46.55901576316801","0","0"
"347","8","14","150","326","19.454056132256824","0","0"
"331","8","12","150","1500","24.33679354094579","56","0"
"348","8","14","150","447","81.27643214148405","0","0"
"353","8","14","200","97","48.212226066897344","0","0"
"352","8","14","200","129","55.40176855055748","0","0"
"350","8","14","175","446","29.911572472126107","0","0"
"355","8","14","225","110","39.023452518262204","0","0"
"351","8","14","175","348","13.110342176086121","0","0"
"356","8","14","225","86","40.253748558246826","0","0"
"354","8","14","200","143","44.559784698193006","0","0"
"345","8","12","250","816","15.570934256055363","0","0"
"346","8","14","150","785","13.571703191080355","0","0"
"359","8","14","250","112","39.67704728950404","0","0"
"358","8","14","250","146","42.21453287197232","0","0"
"360","8","14","250","135","46.943483275663205","0","0"
"362","8","16","150","91","50.326797385620914","0","0"
"357","8","14","225","208","56.47827758554402","0","0"
"366","8","16","175","77","42.599000384467516","0","0"
"365","8","16","175","116","48.55824682814302","0","0"
"338","8","12","200","1500","46.36678200692042","32","0"
"363","8","16","150","251","18.800461361014996","0","0"
"361","8","16","150","332","14.725105728565936","0","0"
"367","8","16","200","215","71.01114955786237","0","0"
"369","8","16","200","156","53.44098423683199","0","0"
"373","8","16","250","62","37.29334871203383","0","0"
"371","8","16","225","107","44.7520184544406","0","0"
"364","8","16","175","354","17.72395232602845","0","0"
"372","8","16","225","165","55.28642829680892","0","0"
"374","8","16","250","131","42.445213379469436","0","0"
"375","8","16","250","129","44.7520184544406","0","0"
"370","8","16","225","398","13.264129181084199","0","0"
"378","8","18","150","153","61.28412149173395","0","0"
"382","8","18","200","92","40.06151480199923","0","0"
"381","8","18","175","121","48.17377931564783","0","0"
"379","8","18","175","303","12.418300653594772","0","0"
"368","8","16","200","676","10.111495578623606","0","0"
"385","8","18","225","80","36.409073433294886","0","0"
"384","8","18","200","149","53.78700499807766","0","0"
"386","8","18","225","98","43.21414840445982","0","0"
"380","8","18","175","416","13.956170703575548","0","0"
"388","8","18","250","113","34.71741637831603","0","0"
"387","8","18","225","144","48.36601307189542","0","0"
"389","8","18","250","91","39.869281045751634","0","0"
"390","8","18","250","99","39.29257977700884","0","0"
"383","8","18","200","399","9.84236831987697","0","0"
"392","8","20","150","73","40.94579008073818","0","0"
"394","8","20","175","66","40.484429065743946","0","0"
"393","8","20","150","78","38.446751249519416","0","0"
"391","8","20","150","104","52.979623221837755","0","0"
"396","8","20","175","57","38.48519800076893","0","0"
"399","8","20","200","59","36.255286428296806","0","0"
"395","8","20","175","121","56.055363321799305","0","0"
"398","8","20","200","107","43.52172241445598","0","0"
"401","8","20","225","79","37.44713571703191","0","0"
"400","8","20","225","128","46.1361014994233","0","0"
"402","8","20","225","77","39.13879277201077","0","0"
"403","8","20","250","128","42.32987312572088","0","0"
"376","8","18","150","990","19.146482122260668","0","0"
"404","8","20","250","104","39.06189926951173","0","0"
"405","8","20","250","109","35.40945790080738","0","0"
"397","8","20","200","371","18.685121107266436","0","0"
"411","10","4","175","356","95.19415609381008","0","0"
"377","8","18","150","1500","26.143790849673202","9","0"
"406","10","4","150","1500","61.13033448673587","29","0"
"410","10","4","175","1500","46.251441753171854","26","0"
"409","10","4","175","1500","44.17531718569781","32","0"
"407","10","4","150","1500","53.21030372933487","43","0"
